timeMillis,timeElapsed,pressure,alt,altV,predictedApogee,dragCoefCmd,dragAngle,flightState
5786,0,1021.8909,0.6523,1.3471,0.7448,0.7500,135.0000,1
5796,0,1021.8824,0.6771,1.4761,0.7881,0.7500,135.0000,1
5806,0,1021.8785,0.7225,1.6516,0.8615,0.7500,135.0000,1
5816,0,1021.8794,0.7591,1.6361,0.8955,0.7500,135.0000,1
5826,0,1021.8783,0.7854,1.5639,0.9101,0.7500,135.0000,1
5836,0,1021.8740,0.8025,1.5122,0.9190,0.7500,135.0000,1
5846,0,1021.8736,0.8128,1.5793,0.9399,0.7500,135.0000,1
5856,0,1021.8741,0.8241,1.6413,0.9614,0.7500,135.0000,1
5866,0,1021.8775,0.8262,1.8322,0.9973,0.7500,135.0000,1
5876,0,1021.8873,0.7983,1.5432,0.9197,0.7500,135.0000,1
5886,0,1021.8807,0.7829,1.3059,0.8698,0.7500,135.0000,1
5896,0,1021.8789,0.7725,0.9549,0.8190,0.7500,135.0000,1
5906,0,1021.8787,0.7694,0.4697,0.7807,0.7500,135.0000,1
5916,0,1021.8734,0.7983,0.3923,0.8062,0.7500,135.0000,1
5926,0,1021.8704,0.8200,0.3458,0.8261,0.7500,135.0000,1
5936,0,1021.8733,0.8324,0.2994,0.8370,0.7500,135.0000,1
5946,0,1021.8717,0.8474,0.3458,0.8535,0.7500,135.0000,1
5956,0,1021.8756,0.8422,0.1807,0.8439,0.7500,135.0000,1
5966,0,1021.8749,0.8329,0.0671,0.8332,0.7500,135.0000,1
5976,0,1021.8640,0.8525,0.5420,0.8675,0.7500,135.0000,1
5986,0,1021.8624,0.8716,0.8877,0.9118,0.7500,135.0000,1
5996,0,1021.8604,0.9036,1.3110,0.9912,0.7500,135.0000,1
6006,0,1021.8649,0.9258,1.5639,1.0504,0.7500,135.0000,1
6016,0,1021.8623,0.9294,1.3110,1.0170,0.7500,135.0000,1
6026,0,1021.8656,0.9227,1.0271,0.9765,0.7500,135.0000,1
6036,0,1021.8622,0.9186,0.8619,0.9565,0.7500,135.0000,1
6046,0,1021.8581,0.9330,0.8568,0.9705,0.7500,135.0000,1
6056,0,1021.8617,0.9341,0.9187,0.9771,0.7500,135.0000,1
6066,0,1021.8563,0.9537,1.2077,1.0280,0.7500,135.0000,1
6076,0,1021.8574,0.9640,1.1148,1.0273,0.7500,135.0000,1
6086,0,1021.8639,0.9521,0.8052,0.9852,0.7500,135.0000,1
6096,0,1021.8639,0.9475,0.4387,0.9573,0.7500,135.0000,1
6106,0,1021.8623,0.9351,0.0929,0.9355,0.7500,135.0000,1
6116,0,1021.8546,0.9413,0.1187,0.9420,0.7500,135.0000,1
6126,0,1021.8568,0.9558,0.3303,0.9613,0.7500,135.0000,1
6136,0,1021.8621,0.9588,0.4026,0.9671,0.7500,135.0000,1
6146,0,1021.8507,0.9836,0.5058,0.9967,0.7500,135.0000,1
6156,0,1021.8517,0.9898,0.5574,1.0056,0.7500,135.0000,1
6166,0,1021.8524,0.9991,0.4542,1.0096,0.7500,135.0000,1
6176,0,1021.8464,1.0326,0.6865,1.0567,0.7500,135.0000,1
6186,0,1021.8513,1.0311,0.7897,1.0629,0.7500,135.0000,1
6196,0,1021.8536,1.0270,0.7948,1.0592,0.7500,135.0000,1
6206,0,1021.8539,1.0239,0.8877,1.0640,0.7500,135.0000,2
6216,1,1021.8494,1.0182,0.7690,1.0483,0.7500,135.0000,2
6226,11,1021.8522,1.0161,0.6039,1.0347,0.7500,135.0000,2
6236,21,1021.8467,1.0311,0.7226,1.0577,0.7500,135.0000,2
6246,31,1021.8494,1.0404,0.5677,1.0568,0.7500,135.0000,2
6256,41,1021.8514,1.0357,0.4593,1.0465,0.7500,135.0000,2
6266,51,1021.8516,1.0363,0.3716,1.0433,0.7500,135.0000,2
6276,61,1021.8566,1.0156,-0.1703,1.0171,0.7500,135.0000,2
6286,71,1021.8531,1.0079,-0.2323,1.0106,0.7500,135.0000,2
6296,81,1021.8511,1.0079,-0.1910,1.0097,0.7500,135.0000,2
6306,91,1021.8505,1.0105,-0.1342,1.0114,0.7500,135.0000,2
6316,101,1021.8491,1.0265,0.0826,1.0268,0.7500,135.0000,2
6326,111,1021.8505,1.0321,0.1600,1.0334,0.7500,135.0000,2
6336,121,1021.8535,1.0270,-0.0413,1.0271,0.7500,135.0000,2
6346,131,1021.8529,1.0218,-0.1858,1.0236,0.7500,135.0000,2
6356,141,1021.8450,1.0301,-0.0568,1.0302,0.7500,135.0000,2
6366,151,1021.8457,1.0404,0.0413,1.0405,0.7500,135.0000,2
6376,161,1021.8528,1.0414,0.2581,1.0448,0.7500,135.0000,2
6386,171,1021.8516,1.0445,0.3665,1.0514,0.7500,135.0000,2
6396,181,1021.8492,1.0357,0.2787,1.0397,0.7500,135.0000,2
6406,191,1021.8480,1.0311,0.2064,1.0333,0.7500,135.0000,2
6416,201,1021.8547,1.0275,0.0103,1.0275,0.7500,135.0000,2
6426,211,1021.8522,1.0259,-0.0619,1.0261,0.7500,135.0000,2
6436,221,1021.8407,1.0435,0.1652,1.0449,0.7500,135.0000,2
6446,231,1021.8352,1.0714,0.4955,1.0839,0.7500,135.0000,2
6456,241,1021.8375,1.1080,0.7794,1.1390,0.7500,135.0000,2
6466,251,1021.8499,1.1126,0.7226,1.1393,0.7500,135.0000,2
6476,261,1021.8583,1.0755,0.3406,1.0814,0.7500,135.0000,2
6486,271,1021.8550,1.0337,-0.1084,1.0343,0.7500,135.0000,2
6496,281,1021.8479,1.0115,-0.2426,1.0145,0.7500,135.0000,2
6506,291,1021.8488,1.0141,-0.1703,1.0155,0.7500,135.0000,2
6516,301,1021.8367,1.0600,0.3252,1.0654,0.7500,135.0000,2
6526,311,1021.8387,1.0941,0.6813,1.1177,0.7500,135.0000,2
6536,321,1021.8417,1.1070,0.6348,1.1275,0.7500,135.0000,2
6546,331,1021.8484,1.1075,0.3613,1.1141,0.7500,135.0000,2
6556,341,1021.8366,1.1080,-0.0000,1.1080,0.7500,135.0000,2
6566,351,1021.8370,1.1111,-0.0155,1.1111,0.7500,135.0000,2
6576,361,1021.8339,1.1281,0.5265,1.1423,0.7500,135.0000,2
6586,371,1021.8374,1.1514,1.1767,1.2219,0.7500,135.0000,2
6596,381,1021.8312,1.1627,1.5122,1.2792,0.7500,135.0000,2
6606,391,1021.8324,1.1725,1.5845,1.3004,0.7500,135.0000,2
6616,401,1021.8333,1.1741,1.1406,1.2404,0.7500,135.0000,2
6626,411,1021.8420,1.1643,0.7019,1.1894,0.7500,135.0000,2
6636,421,1021.8405,1.1446,0.3767,1.1519,0.7500,135.0000,2
6646,431,1021.8342,1.1415,0.3406,1.1475,0.7500,135.0000,2
6656,441,1021.8361,1.1359,0.2786,1.1398,0.7500,135.0000,2
6666,451,1021.8390,1.1421,0.3096,1.1469,0.7500,135.0000,2
6676,461,1021.8323,1.1591,0.3096,1.1640,0.7500,135.0000,2
6686,471,1021.8289,1.1699,0.1859,1.1717,0.7500,135.0000,2
6696,481,1021.8240,1.1957,0.3303,1.2013,0.7500,135.0000,2
6706,491,1021.8262,1.2226,0.5007,1.2353,0.7500,135.0000,2
6716,501,1021.8212,1.2458,0.7174,1.2720,0.7500,135.0000,2
6726,511,1021.8145,1.2768,1.1252,1.3413,0.7500,135.0000,2
6736,521,1021.8221,1.2809,1.3626,1.3755,0.7500,135.0000,2
6746,531,1021.8242,1.2855,1.4401,1.3912,0.7500,135.0000,2
6756,541,1021.8279,1.2711,1.3523,1.3643,0.7500,135.0000,2
6766,551,1021.8219,1.2556,1.1355,1.3213,0.7500,135.0000,2
6776,561,1021.8239,1.2525,0.9342,1.2970,0.7500,135.0000,2
6786,571,1021.8291,1.2422,0.7226,1.2688,0.7500,135.0000,2
6796,581,1021.8248,1.2489,0.5316,1.2633,0.7500,135.0000,2
6806,591,1021.8312,1.2288,0.0619,1.2290,0.7500,135.0000,2
6816,601,1021.8367,1.2024,-0.4336,1.2120,0.7500,135.0000,2
6826,611,1021.8389,1.1823,-0.9446,1.2278,0.7500,135.0000,2
6836,621,1021.8419,1.1457,-1.3523,1.2389,0.7500,135.0000,2
6846,631,1021.8462,1.1137,-1.7188,1.2642,0.7500,135.0000,2
6856,641,1021.8429,1.1008,-1.7033,1.2486,0.7500,135.0000,2
6866,651,1021.8434,1.0910,-1.6465,1.2291,0.7500,135.0000,2
6876,661,1021.8445,1.0848,-1.6775,1.2281,0.7500,135.0000,2
6886,671,1021.8358,1.1064,-1.3576,1.2004,0.7500,135.0000,2
6896,681,1021.8381,1.1157,-1.3317,1.2061,0.7500,135.0000,2
6906,691,1021.8472,1.1075,-1.2130,1.1825,0.7500,135.0000,2
6916,701,1021.8459,1.1049,-0.9756,1.1534,0.7500,135.0000,2
6926,711,1021.8489,1.0775,-1.0479,1.1335,0.7500,135.0000,2
6936,721,1021.8531,1.0461,-0.9962,1.0966,0.7500,135.0000,2
6946,731,1021.8445,1.0517,-0.6194,1.0713,0.7500,135.0000,2
6956,741,1021.8431,1.0574,-0.4336,1.0670,0.7500,135.0000,2
6966,751,1021.8496,1.0564,-0.3459,1.0625,0.7500,135.0000,2
6976,761,1021.8538,1.0548,-0.2994,1.0594,0.7500,135.0000,2
6986,771,1021.8517,1.0399,-0.6658,1.0625,0.7500,135.0000,2
6996,781,1021.8613,1.0007,-1.1510,1.0682,0.7500,135.0000,2
7006,791,1021.8635,0.9712,-1.3626,1.0658,0.7500,135.0000,2
7016,801,1021.8643,0.9490,-1.5588,1.0728,0.7500,135.0000,2
7026,811,1021.8575,0.9367,-1.4091,1.0378,0.7500,135.0000,2
7036,821,1021.8599,0.9403,-1.0581,0.9973,0.7500,135.0000,2
7046,831,1021.8585,0.9511,-1.0065,1.0027,0.7500,135.0000,2
7056,841,1021.8591,0.9619,-0.9549,1.0084,0.7500,135.0000,2
7066,851,1021.8580,0.9609,-0.9549,1.0074,0.7500,135.0000,2
7076,861,1021.8542,0.9723,-0.8258,1.0070,0.7500,135.0000,2
7086,871,1021.8583,0.9723,-0.6762,0.9956,0.7500,135.0000,2
7096,881,1021.8620,0.9666,-0.3407,0.9725,0.7500,135.0000,2
7106,891,1021.8669,0.9475,-0.2374,0.9504,0.7500,135.0000,2
7116,901,1021.8634,0.9284,-0.2065,0.9306,0.7500,135.0000,2
7126,911,1021.8614,0.9217,-0.1497,0.9228,0.7500,135.0000,2
7136,921,1021.8600,0.9263,-0.1394,0.9273,0.7500,135.0000,2
7146,931,1021.8611,0.9387,-0.1239,0.9395,0.7500,135.0000,2
7156,941,1021.8560,0.9547,-0.0723,0.9550,0.7500,135.0000,2
7166,951,1021.8568,0.9640,0.0310,0.9641,0.7500,135.0000,2
7176,961,1021.8596,0.9640,-0.0826,0.9644,0.7500,135.0000,2
7186,971,1021.8721,0.9408,-0.3149,0.9458,0.7500,135.0000,2
7196,981,1021.8704,0.9098,-0.5678,0.9262,0.7500,135.0000,2
7206,991,1021.8690,0.8835,-0.6400,0.9044,0.7500,135.0000,2
7216,1001,1021.8776,0.8453,-0.8310,0.8805,0.7500,135.0000,2
7226,1011,1021.8892,0.8097,-1.1200,0.8736,0.7500,135.0000,2
7236,1021,1021.8906,0.7669,-1.5949,0.8965,0.7500,135.0000,2
7246,1031,1021.8797,0.7447,-1.9407,0.9365,0.7500,135.0000,2
7256,1041,1021.8878,0.7230,-2.3174,0.9965,0.7500,135.0000,2
7266,1051,1021.8918,0.7178,-2.4620,1.0265,0.7500,135.0000,2
7276,1061,1021.8934,0.7116,-2.5239,1.0361,0.7500,135.0000,2
7286,1071,1021.8961,0.6771,-2.6372,1.0313,0.7500,135.0000,2
7296,1081,1021.8997,0.6513,-2.5856,0.9917,0.7500,135.0000,2
7306,1091,1021.9016,0.6311,-2.5238,0.9555,0.7500,135.0000,2
7316,1101,1021.9000,0.6167,-2.2863,0.8829,0.7500,135.0000,2
7326,1111,1021.9064,0.5945,-2.1522,0.8304,0.7500,135.0000,2
7336,1121,1021.9059,0.5816,-1.8528,0.7565,0.7500,135.0000,2
7346,1131,1021.9078,0.5682,-1.7651,0.7269,0.7500,135.0000,2
7356,1141,1021.9042,0.5594,-1.6360,0.6958,0.7500,135.0000,2
7366,1151,1021.9051,0.5615,-1.5638,0.6861,0.7500,135.0000,2
7376,1161,1021.9014,0.5708,-1.4089,0.6719,0.7500,135.0000,2
7386,1171,1021.9001,0.5873,-0.8982,0.6284,0.7500,135.0000,2
7396,1181,1021.9111,0.5728,-0.7846,0.6042,0.7500,135.0000,2
7406,1191,1021.9038,0.5754,-0.5574,0.5912,0.7500,135.0000,2
7416,1201,1021.9124,0.5522,-0.6452,0.5734,0.7500,135.0000,2
7426,1211,1021.9217,0.5062,-0.8826,0.5459,0.7500,135.0000,2
7436,1221,1021.9258,0.4748,-1.0684,0.5329,0.7500,135.0000,2
7446,1231,1021.9244,0.4314,-1.3677,0.5267,0.7500,135.0000,2
7456,1241,1021.9153,0.4257,-1.3368,0.5168,0.7500,135.0000,2
7466,1251,1021.9167,0.4361,-1.2542,0.5162,0.7500,135.0000,2
7476,1261,1021.9154,0.4583,-1.1251,0.5228,0.7500,135.0000,2
7486,1271,1021.9070,0.4944,-0.9290,0.5384,0.7500,135.0000,2
7496,1281,1021.9098,0.5062,-0.6658,0.5288,0.7500,135.0000,2
7506,1291,1021.9059,0.5290,-0.4645,0.5400,0.7500,135.0000,2
7516,1301,1021.9120,0.5367,-0.1548,0.5379,0.7500,135.0000,2
7526,1311,1021.9165,0.5166,0.1032,0.5171,0.7500,135.0000,2
7536,1321,1021.9147,0.5057,0.3097,0.5106,0.7500,135.0000,2
7546,1331,1021.9254,0.4650,0.3355,0.4707,0.7500,135.0000,2
7556,1341,1021.9230,0.4417,0.1600,0.4430,0.7500,135.0000,2
7566,1351,1021.9279,0.4180,-0.1806,0.4197,0.7500,135.0000,2
7576,1361,1021.9330,0.3783,-0.8000,0.4109,0.7500,135.0000,2
7586,1371,1021.9369,0.3535,-1.4090,0.4547,0.7500,135.0000,2
7596,1381,1021.9341,0.3298,-1.7651,0.4885,0.7500,135.0000,2
